EMC,Location,Analyte,Flow,Run
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,1
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,1
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,1
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,1
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,1
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,1
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,1
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,1
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,1
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,1
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,2
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,2
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,2
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,2
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,2
0.125,-1693589722_FL,Phosphorus,Outflow,2
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,2
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,2
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,2
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,2
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,3
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,3
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,3
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,3
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,3
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,3
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,3
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,3
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,3
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,3
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,4
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,4
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,4
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,4
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,4
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,4
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,4
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,4
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,4
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,4
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,5
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,5
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,5
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,5
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,5
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,5
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,5
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,5
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,5
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,5
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,6
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,6
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,6
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,6
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,6
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,6
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,6
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,6
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,6
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,6
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,7
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,7
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,7
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,7
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,7
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,7
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,7
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,7
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,7
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,7
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,8
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,8
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,8
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,8
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,8
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,8
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,8
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,8
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,8
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,8
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,9
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,9
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,9
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,9
